Case_ID,Player_ID,Activity,Timestamp,Category,Question_Value,Answer_Given,Result,Score_After_Play
"GAME1",,"Start Game","2025-11-27T04:38:57.521815500Z",,,,,
"GAME1",,"Load File","2025-11-27T04:38:57.533799300Z","quit",,,,
"GAME1",,"Start Game","2025-11-27T05:14:08.260917100Z",,,,,
"GAME1",,"Load File","2025-11-27T05:14:08.264020500Z","CSV",,,,
"GAME1",,"Start Game","2025-11-27T05:14:42.015588Z",,,,,
"GAME1",,"Load File","2025-11-27T05:14:42.018708800Z","csv",,,,
"GAME1",,"Start Game","2025-11-27T05:16:18.355977Z",,,,,
"GAME1",,"Load File","2025-11-27T05:16:18.359262100Z","Project",,,,
"GAME1",,"Start Game","2025-11-27T05:16:45.420476Z",,,,,
"GAME1",,"Load File","2025-11-27T05:16:45.424034Z","sample_game_CSV.csv",,,,
"GAME1",,"File Loaded Successfully","2025-11-27T05:16:45.435941200Z","sample_game_CSV.csv",,,"Success",
"GAME1",,"Select Player Count","2025-11-27T05:16:47.852212700Z",,,,"2",
"GAME1","P1-f0492e","Enter Player Name","2025-11-27T05:16:50.097399300Z",,,"tom",,0
"GAME1","P2-e54388","Enter Player Name","2025-11-27T05:16:53.015103800Z",,,"jim",,0
"GAME1",,"Generate Event Log","2025-11-27T05:16:53.019411800Z","game_summary.txt",,"Header Written",,
"GAME1","P1-f0492e","Select Player Turn","2025-11-27T05:16:53.022759400Z",,,,,0
"GAME1","P1-f0492e","Select Category","2025-11-27T05:16:56.494429200Z","Variables & Data Types",,,,0
"GAME1","P1-f0492e","Select Question","2025-11-27T05:16:58.999453800Z","Variables & Data Types",200,,,0
"GAME1","P1-f0492e","Answer Question","2025-11-27T05:17:01.037094600Z","Variables & Data Types",200,"a","Incorrect",-200
"GAME1","P1-f0492e","Score Updated","2025-11-27T05:17:01.037094600Z",,,,,-200
"GAME1","P2-e54388","Select Player Turn","2025-11-27T05:17:01.044732700Z",,,,,0
"GAME1","P2-e54388","Select Category","2025-11-27T05:17:06.064775Z","Arrays",,,,0
"GAME1","P2-e54388","Select Question","2025-11-27T05:17:07.642730900Z","Arrays",300,,,0
"GAME1","P2-e54388","Answer Question","2025-11-27T05:17:10.471188300Z","Arrays",300,"a","Incorrect",-300
"GAME1","P2-e54388","Score Updated","2025-11-27T05:17:10.471188300Z",,,,,-300
"GAME1","P1-f0492e","Select Player Turn","2025-11-27T05:17:10.472419900Z",,,,,-200
"GAME1",,"Exit Game","2025-11-27T05:17:12.642968200Z",,,,,
"GAME2",,"Start Game","2025-11-27T11:51:06.578424Z",,,,,
"GAME2",,"Load File","2025-11-27T11:51:06.582542200Z","sample_game_CSV.csv",,,,
"GAME2",,"File Loaded Successfully","2025-11-27T11:51:06.596302700Z","sample_game_CSV.csv",,,"Success",
"GAME2",,"Select Player Count","2025-11-27T11:51:10.523606300Z",,,,"3",
"GAME2","P1-77ce50","Enter Player Name","2025-11-27T11:51:14.645074900Z",,,"Tom",,0
"GAME2","P2-fa28ea","Enter Player Name","2025-11-27T11:51:18.107217100Z",,,"Jack",,0
"GAME2","P3-aca82d","Enter Player Name","2025-11-27T11:51:21.504093300Z",,,"Harry",,0
"GAME2",,"Generate Event Log","2025-11-27T11:51:21.505095300Z","game_summary.txt",,"Header Written",,
"GAME2","P1-77ce50","Select Player Turn","2025-11-27T11:51:21.508118400Z",,,,,0
"GAME2","P1-77ce50","Select Category","2025-11-27T11:51:26.743585800Z","Variables & Data Types",,,,0
"GAME2","P1-77ce50","Select Question","2025-11-27T11:51:29.660096900Z","Variables & Data Types",300,,,0
"GAME2","P1-77ce50","Answer Question","2025-11-27T11:51:40.353728300Z","Variables & Data Types",300,"a","Correct",300
"GAME2","P1-77ce50","Score Updated","2025-11-27T11:51:40.353728300Z",,,,,300
"GAME2","P2-fa28ea","Select Player Turn","2025-11-27T11:51:40.359725100Z",,,,,0
"GAME2","P2-fa28ea","Select Category","2025-11-27T11:51:44.393629900Z","File Handling",,,,0
"GAME2","P2-fa28ea","Select Question","2025-11-27T11:51:46.427414400Z","File Handling",100,,,0
"GAME2","P2-fa28ea","Answer Question","2025-11-27T11:51:52.208103200Z","File Handling",100,"e","Incorrect",-100
"GAME2","P2-fa28ea","Score Updated","2025-11-27T11:51:52.209115100Z",,,,,-100
"GAME2","P3-aca82d","Select Player Turn","2025-11-27T11:51:52.211154100Z",,,,,0
"GAME2","P3-aca82d","Select Category","2025-11-27T11:52:00.298895900Z","Functions",,,,0
"GAME2","P3-aca82d","Select Question","2025-11-27T11:52:02.104930300Z","Functions",200,,,0
"GAME2","P3-aca82d","Answer Question","2025-11-27T11:52:14.501388Z","Functions",200,"d","Incorrect",-200
"GAME2","P3-aca82d","Score Updated","2025-11-27T11:52:14.501388Z",,,,,-200
"GAME2","P1-77ce50","Select Player Turn","2025-11-27T11:52:14.501388Z",,,,,300
"GAME2","P1-77ce50","Select Category","2025-11-27T11:52:18.217862800Z","Functions",,,,300
"GAME2","P1-77ce50","Select Question","2025-11-27T11:52:21.041822500Z","Functions",500,,,300
"GAME2","P1-77ce50","Answer Question","2025-11-27T11:52:30.518052200Z","Functions",500,"b","Correct",800
"GAME2","P1-77ce50","Score Updated","2025-11-27T11:52:30.518052200Z",,,,,800
"GAME2","P2-fa28ea","Select Player Turn","2025-11-27T11:52:30.519073200Z",,,,,-100
